time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placements
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Education setting with URN,44
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,119
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,One on one tuition,372
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Education setting with URN,520
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Other unregistered provider,33
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,925
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,One on one tuition,496
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Registered provider with UKPRN,25
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Work based placement,8
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Education setting with URN,1059
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Other unregistered provider,17
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,1605
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Registered provider with UKPRN,150
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Education setting with URN,577
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Other unregistered provider,147
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Total,876
202425,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,Education setting with URN,5
202425,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,Total,5
202425,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Education setting with URN,99
202425,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Total,99
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,One on one tuition,60
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Work based placement,3
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Registered provider with UKPRN,12
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Education setting with URN,204
202425,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,Total,279
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,One on one tuition,57
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Registered provider with UKPRN,4
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Work based placement,27
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Education setting with URN,563
202425,Academic year,Local authority,E92000001,England,London,E12000007,204,Hackney,E09000012,Total,651
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Registered provider with UKPRN,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Other unregistered provider,5
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,One on one tuition,22
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Education setting with URN,150
