time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,classtype,size,number_of_classes,number_of_pupils,average_class_size
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Infant (Reception plus KS1),Total,258,6581,25.50775194
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,KS2,1 to 30,296,7700,26.01351351
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,KS2,31 to 35,29,929,32.03448276
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,KS2,36 plus,1,37,37
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,KS2,Total,326,8666,26.58282209
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,1 to 30,622,15600,25.08038585
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,31 to 35,40,1273,31.825
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,36 plus,14,532,38
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,Total,676,17405,25.74704142
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,1 to 30,454,9329,20.54845815
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,31 to 35,24,759,31.625
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,Total,478,10088,21.10460251
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Infant (Reception plus KS1),1 to 30,591,14391,24.35025381
