time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placement_reason,number_of_placements,denominator,perc_placements
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,One on one tuition,Total,20,70,28.57142857
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Total,Total,70,70,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Total,Permanent exclusion,1,70,1.428571428
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Total,Setting named on EHC plan,69,70,98.57142857
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Education setting with UKPRN,Total,88,243,36.21399177
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Education setting with URN,Total,28,243,11.52263374
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,One on one tuition,Total,15,243,6.172839506
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Other unregistered provider,Total,112,243,46.09053498
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Total,Total,243,243,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Total,Other including pregnancy/childcare,127,243,52.26337449
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,822,Bedford,E06000055,Total,Setting named on EHC plan,116,243,47.73662551
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Education setting with UKPRN,Total,153,214,71.4953271
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Education setting with URN,Total,24,214,11.21495327
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,One on one tuition,Total,2,214,0.934579439
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Other unregistered provider,Total,31,214,14.48598131
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Total,Total,214,214,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Total,Other including pregnancy/childcare,27,214,12.61682243
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Total,Permanent exclusion,5,214,2.336448598
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Total,Setting named on EHC plan,182,214,85.04672897
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Work based placement,Total,4,214,1.869158878
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Education setting with UKPRN,Total,171,700,24.42857143
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Education setting with URN,Total,372,700,53.14285714
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,One on one tuition,Total,120,700,17.14285714
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Other unregistered provider,Total,37,700,5.285714285
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,Total,700,700,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,Mental health need,4,700,0.571428571
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,New arrival without a school place,27,700,3.857142857
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,Other including pregnancy/childcare,6,700,0.857142857
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,Permanent exclusion,13,700,1.857142857
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,Physical health need,1,700,0.142857142
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,Setting named on EHC plan,649,700,92.71428571
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Education setting with URN,Total,129,141,91.4893617
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Other unregistered provider,Total,12,141,8.510638297
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Total,Total,141,141,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Total,Other including pregnancy/childcare,1,141,0.709219858
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Total,Setting named on EHC plan,140,141,99.29078014
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Education setting with URN,Total,492,1315,37.41444867
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Other unregistered provider,Total,823,1315,62.58555133
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Total,Total,1315,1315,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Total,New arrival without a school place,218,1315,16.57794677
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Total,Other including pregnancy/childcare,768,1315,58.40304183
