time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,Non-maintained further education college,21
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,One on one tuition,179
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,Other unregistered provider,891
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,Registered provider with UKPRN,124
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,Total,1934
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,Work based placement,87
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (mental health need),Education setting with URN,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (mental health need),One on one tuition,26
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (mental health need),Other unregistered provider,39
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,10
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (mental health need),Total,79
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (physical health need),Education setting with URN,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (physical health need),Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (physical health need),Total,3
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Off-site placement for behavioural support,Education setting with URN,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Off-site placement for behavioural support,One on one tuition,26
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,31
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,3
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Off-site placement for behavioural support,Total,68
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Off-site placement for behavioural support,Work based placement,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Other,Education setting with URN,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Other,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Other,Other unregistered provider,26
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Other,Registered provider with UKPRN,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Other,Total,50
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Other,Work based placement,18
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Permanent exclusion (where still going through the review process),Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Permanent exclusion (where still going through the review process),Total,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,Total,Education setting with URN,12
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,Total,One on one tuition,54
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,Total,Other unregistered provider,98
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,Total,Registered provider with UKPRN,15
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,Total,Total,201
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,Total,Work based placement,22
