term,ngram,total_frequency,article_count
understanding,1,20,16
wider,1,20,16
conditions,1,20,15
every school,2,20,15
themselves,1,20,15
package,1,20,14
particular,1,20,14
quality,1,20,14
send children,2,20,14
tell,1,20,14
choice,1,20,13
schools colleges,2,20,13
source,1,20,12
hospital,1,20,11
city,1,20,8
royal,1,20,7
qualifications,1,20,6
scottish,1,20,6
mandelson,1,20,3
holiday,1,20,2
verify,1,20,2
care plan,2,19,17
commitment,1,19,17
followed,1,19,17
funded,1,19,17
health care plan,3,19,17
keir starmer,2,19,17
peers,1,19,17
severe,1,19,17
suggested,1,19,17
engagement,1,19,16
happen,1,19,16
leaving,1,19,16
tackle,1,19,16
third,1,19,16
carers,1,19,15
changes special,2,19,15
children rights,2,19,15
essential,1,19,15
helping,1,19,15
meeting,1,19,15
members,1,19,15
schools inclusive,2,19,15
classroom,1,19,14
policies,1,19,14
targeted plus,2,19,14
black,1,19,13
kids,1,19,13
reserved,1,19,13
several,1,19,13
company,1,19,12
inclusive education,2,19,12
post,1,19,12
team,1,19,12
local school,2,19,11
lost,1,19,11
personal,1,19,11
bases,1,19,10
emotional,1,19,10
general secretary,2,19,10
legal right,2,19,10
stories,1,19,10
send school,2,19,8
politicians,1,19,7
court,1,19,6
girls,1,19,6
maintenance,1,19,6
repayments,1,19,5
church,1,19,2
lord mandelson,2,19,2
womb,1,19,1
plan ehcp,2,18,18
intervention,1,18,17
issued,1,18,17
plans isps,2,18,17
support plans isps,3,18,17
supporting children,2,18,17
develop,1,18,16
sets,1,18,16
starting,1,18,16
although,1,18,15
close,1,18,15
creating,1,18,15
critical,1,18,15
document,1,18,15
identify,1,18,15
improved,1,18,15
improving,1,18,15
primary secondary,2,18,15
receiving,1,18,15
truly,1,18,15
ambition,1,18,14
chances,1,18,14
fully,1,18,14
hopes,1,18,14
mainstream school,2,18,14
reporting,1,18,14
respond,1,18,14
sense,1,18,14
entitled,1,18,13
experiences,1,18,13
overall,1,18,13
range,1,18,13
created,1,18,12
question,1,18,12
appeal,1,18,11
environment,1,18,11
expertise,1,18,11
protections,1,18,11
providers,1,18,11
spaces,1,18,11
professional,1,18,10
released,1,18,10
external,1,18,9
send deficits,2,18,9
study,1,18,9
claims,1,18,8
power,1,18,8
public,1,18,8
courses,1,18,7
student loans,2,18,6
emma,1,18,5
maternity,1,18,5
heating,1,18,3
pages,1,18,2
geothermal,1,18,1
navigation,1,18,1
benefits,1,17,17
care plan ehcp,3,17,17
compared,1,17,17
disabilities send system,3,17,17
instagram,1,17,17
reasonable,1,17,17
scale,1,17,17
transition,1,17,17
understand,1,17,17
account,1,17,16
broader,1,17,16
similar,1,17,16
anxiety,1,17,15
believe,1,17,15
children need,2,17,15
problems,1,17,15
should receive,2,17,15
throughout,1,17,15
trying,1,17,15
worked,1,17,15
works,1,17,15
biggest,1,17,14
bring,1,17,14
changing,1,17,14
completely,1,17,14
comprehensive,1,17,14
conservative,1,17,14
limit,1,17,14
nothing,1,17,14
school college,2,17,14
support child,2,17,14
alone,1,17,13
consistent,1,17,13
crime,1,17,13
gets,1,17,13
late,1,17,13
only children,2,17,13
quite,1,17,13
thing,1,17,13
body,1,17,12
developed,1,17,12
idea,1,17,12
support pupils,2,17,12
assistants,1,17,11
children special needs,3,17,11
diagnosis,1,17,11
happened,1,17,11
hope,1,17,11
layers,1,17,10
missing,1,17,10
qualify,1,17,10
therapy,1,17,10
covid,1,17,9
event,1,17,9
expansion,1,17,9
fees,1,17,9
international,1,17,9
national,1,17,9
security,1,17,9
allegations,1,17,7
letters,1,17,7
video,1,17,7
appointments,1,17,4
charlie,1,17,2
uniforms,1,17,2
back parent,2,17,1
back parent navigation,3,17,1
item,1,17,1
navigation item,2,17,1
parent navigation,2,17,1
parent navigation item,3,17,1
ehcps legal,2,16,16
forced,1,16,16
talking,1,16,16
expensive,1,16,15
fiscal studies,2,16,15
institute fiscal,2,16,15
institute fiscal studies,3,16,15
lower,1,16,15
moving,1,16,15
network,1,16,15
placed,1,16,15
educational psychologists,2,16,14
psychologists,1,16,14
vital,1,16,14
aged,1,16,13
autistic,1,16,13
disorder,1,16,13
local government,2,16,13
number children,2,16,13
society,1,16,13
ways,1,16,13
additional support,2,16,12
conservatives,1,16,12
feels,1,16,12
gone,1,16,12
january,1,16,12
necessary,1,16,12
ongoing,1,16,12
opportunities,1,16,12
politics,1,16,12
positive,1,16,12
thinking,1,16,12
thought,1,16,12
england wales,2,16,11
political,1,16,11
risks,1,16,11
schools england,2,16,11
send training,2,16,11
success,1,16,11
tribunals,1,16,11
john,1,16,10
paul,1,16,10
points,1,16,10
rates,1,16,10
unable,1,16,10
wasn,1,16,10
digital,1,16,9
practical,1,16,9
street,1,16,9
local area,2,16,8
support plan,2,16,8
vote,1,16,8
youth,1,16,8
buildings,1,16,7
finance,1,16,7
killed,1,16,7
opens,1,16,7
published february,2,16,6
trend,1,16,6
jane,1,16,5
footage,1,16,3
attendance,1,15,15
government announced,2,15,15
order,1,15,15
situation,1,15,15
allocated,1,15,14
children additional,2,15,14
committed,1,15,14
decided,1,15,14
doubled,1,15,14
held,1,15,14
nine,1,15,14
properly,1,15,14
entitlements,1,15,13
great,1,15,13
protect,1,15,13
quickly,1,15,13
routes,1,15,13
step,1,15,13
worry,1,15,13
driven,1,15,12
growth,1,15,12
ideas,1,15,12
increasingly,1,15,12
listen,1,15,12
simply,1,15,12
wellbeing,1,15,12
began,1,15,11
bill,1,15,11
debts,1,15,11
life chances,2,15,11
name,1,15,11
packages,1,15,11
parents children,2,15,11
protection,1,15,11
save,1,15,11
type,1,15,11
announced,1,15,10
cover,1,15,10
difficulties,1,15,10
itself,1,15,10
tuesday,1,15,10
enforceable,1,15,9
high-quality,1,15,9
academy,1,15,8
classrooms,1,15,8
employment,1,15,8
officers,1,15,8
side,1,15,8
welfare,1,15,8
individual support plan,3,15,7
water,1,15,7
active,1,15,6
death,1,15,6
leeds,1,15,6
reeves,1,15,6
appointment,1,15,5
student loan,2,15,5
weapons,1,15,5
professor,1,15,4
patients,1,15,3
children education health,3,14,14
closely,1,14,14
hours,1,14,14
seeing,1,14,14
comment,1,14,13
director,1,14,13
introduce,1,14,13
rules,1,14,13
trained,1,14,13
vision,1,14,13
assistant,1,14,12
children support,2,14,12
clarity,1,14,12
conversation,1,14,12
eight,1,14,12
especially,1,14,12
everything,1,14,12
happening,1,14,12
makes,1,14,12
raise,1,14,12
reducing,1,14,12
school system,2,14,12
sometimes,1,14,12
specialists,1,14,12
support children send,3,14,12
unsustainable,1,14,12
wrong,1,14,12
assessments,1,14,11
attention,1,14,11
changed,1,14,11
condition,1,14,11
eligible,1,14,11
form,1,14,11
inclusive mainstream,2,14,11
invest,1,14,11
prevent,1,14,11
sent,1,14,11
struggling,1,14,11
support available,2,14,11
understands,1,14,11
west,1,14,11
wouldn,1,14,11
comments,1,14,10
couldn,1,14,10
difference,1,14,10
partners,1,14,10
senior,1,14,10
slow,1,14,10
sources,1,14,10
westminster,1,14,10
worse,1,14,10
examples,1,14,9
facilities,1,14,9
school transport,2,14,9
accounts,1,14,8
children legal,2,14,8
councillor,1,14,8
jobs,1,14,8
level support,2,14,8
minister,1,14,8
powers,1,14,8
smith,1,14,8
social emotional,2,14,8
pandemic,1,14,7
recommendations,1,14,7
resourced,1,14,7
some children,2,14,7
inflation,1,14,6
interventions,1,14,6
devon,1,14,5
farage,1,14,5
leaked,1,14,5
opinion,1,14,4
knives,1,14,3
mail,1,14,3
repayment,1,14,3
script,1,14,1
walk-in,1,14,1
agreed,1,13,13
begin,1,13,13
facebook instagram,2,13,13
legal documents,2,13,13
meant,1,13,13
minister keir,2,13,13
minister keir starmer,3,13,13
plus specialist,2,13,13
prime minister keir,3,13,13
spoke,1,13,13
system england,2,13,13
turn,1,13,13
anxious,1,13,12
assessment,1,13,12
attempt,1,13,12
billions,1,13,12
cabinet,1,13,12
call,1,13,12
came,1,13,12
certain,1,13,12
drawn,1,13,12
fears,1,13,12
genuinely,1,13,12
losing,1,13,12
offered,1,13,12
responding,1,13,12
skills,1,13,12
states,1,13,12
delayed,1,13,11
drive,1,13,11
every teacher,2,13,11
hold,1,13,11
individual needs,2,13,11
mainstream schools inclusive,3,13,11
make mainstream,2,13,11
make mainstream schools,3,13,11
parents carers,2,13,11
principles,1,13,11
soon,1,13,11
targeted support,2,13,11
audit,1,13,10
changes special educational,3,13,10
children england,2,13,10
clearly,1,13,10
failure,1,13,10
grow,1,13,10
headlines,1,13,10
reality,1,13,10
requirement,1,13,10
school leaders,2,13,10
succeed,1,13,10
truly inclusive,2,13,10
adds,1,13,9
died,1,13,9
implement,1,13,9
miles,1,13,9
removed,1,13,9
send reform,2,13,9
showed,1,13,9
specialist school,2,13,9
trott,1,13,9
culture,1,13,8
progress,1,13,8
survey,1,13,8
deficit,1,13,7
thresholds,1,13,7
safeguarding,1,13,6
tuition,1,13,6
hall,1,13,5
independent special school,3,13,5
james,1,13,5
transport costs,2,13,5
energy,1,13,4
home-to-school,1,13,4
home-to-school transport,2,13,4
plan loans,2,13,4
associate,1,13,3
lawyers,1,13,3
heat,1,13,2
clinics,1,13,1
deepfakes,1,13,1
allow,1,12,12
attainment,1,12,12
determined,1,12,12
earliest,1,12,12
ehcps legal documents,3,12,12
equipped,1,12,12
improvement,1,12,12
needs children,2,12,12
next three,2,12,12
only children complex,3,12,12
reached,1,12,12
represents,1,12,12
targeted plus specialist,3,12,12
targeted targeted plus,3,12,12
basis,1,12,11
budget responsibility,2,12,11
children ehcps,2,12,11
democrat,1,12,11
democrats,1,12,11
fighting,1,12,11
financially,1,12,11
gain,1,12,11
manage,1,12,11
office budget,2,12,11
office budget responsibility,3,12,11
push,1,12,11
series,1,12,11
shadow,1,12,11
sufficient,1,12,11
system children,2,12,11
typically,1,12,11
affect,1,12,10
autumn,1,12,10
background,1,12,10
deal,1,12,10
duty,1,12,10
emergency,1,12,10
laid,1,12,10
lottery,1,12,10
meaningful,1,12,10
millions,1,12,10
nationally,1,12,10
parents teachers,2,12,10
postcode,1,12,10
postcode lottery,2,12,10
proportion,1,12,10
receive support,2,12,10
receives,1,12,10
responsible,1,12,10
send costs,2,12,10
send spending,2,12,10
support should receive,3,12,10
ultimately,1,12,10
value,1,12,10
views,1,12,10
written,1,12,10
allowed,1,12,9
annual,1,12,9
article,1,12,9
attack,1,12,9
audit office,2,12,9
battle,1,12,9
became,1,12,9
curriculum,1,12,9
december,1,12,9
effective support,2,12,9
ends,1,12,9
finding,1,12,9
mission,1,12,9
national audit,2,12,9
national audit office,3,12,9
october,1,12,9
parliamentary,1,12,9
placement,1,12,9
proposed changes,2,12,9
standard,1,12,9
stands,1,12,9
tells,1,12,9
unit,1,12,9
arrested,1,12,8
claimed,1,12,8
countries,1,12,8
design,1,12,8
election,1,12,8
guardian,1,12,8
helen,1,12,8
list,1,12,8
managed,1,12,8
missed,1,12,8
seek,1,12,8
activity,1,12,7
centre,1,12,7
diagnoses,1,12,7
experts hand,2,12,7
gould,1,12,7
green,1,12,7
inclusion bases,2,12,7
poor,1,12,7
social care,2,12,7
reaction,1,12,6
sexual,1,12,6
baby,1,12,5
trial,1,12,5
country,1,12,4
bell,1,12,3
martin,1,12,3
blue,1,12,2
electricity,1,12,2
firearms,1,12,2
huntley,1,12,2
jones,1,12,2
joseph,1,12,2
neet,1,12,2
alexandra,1,12,1
izzy,1,12,1
v-levels,1,12,1
ability,1,11,11
along,1,11,11
charge,1,11,11
child ehcp,2,11,11
complete,1,11,11
covered,1,11,11
finish,1,11,11
forecast,1,11,11
happens,1,11,11
introducing,1,11,11
near,1,11,11
plans ehcps legal,3,11,11
pounds,1,11,11
schools local,2,11,11
show,1,11,11
suggest,1,11,11
sustainable,1,11,11
train,1,11,11
absolutely,1,11,10
agree,1,11,10
challenging,1,11,10
children additional needs,3,11,10
choose,1,11,10
criteria,1,11,10
flexible,1,11,10
large,1,11,10
liberal democrats,2,11,10
luke,1,11,10
meanwhile,1,11,10
minimum,1,11,10
november,1,11,10
running,1,11,10
seeking,1,11,10
send needs,2,11,10
single,1,11,10
spending send,2,11,10
suitable,1,11,10
urged,1,11,10
wrote,1,11,10
accept,1,11,9
adversarial,1,11,9
base,1,11,9
breaking,1,11,9
carefully,1,11,9
concern,1,11,9
crucial,1,11,9
delay,1,11,9
double,1,11,9
enable,1,11,9
fact,1,11,9
focused,1,11,9
formal,1,11,9
hundreds thousands,2,11,9
knowledge,1,11,9
layers support,2,11,9
long-term,1,11,9
option,1,11,9
reform send,2,11,9
regardless,1,11,9
rising costs,2,11,9
route,1,11,9
send inclusion,2,11,9
short,1,11,9
supports,1,11,9
teaching assistant,2,11,9
truth,1,11,9
understood,1,11,9
warning,1,11,9
young families,2,11,9
barriers,1,11,8
board,1,11,8
business,1,11,8
commons,1,11,8
depending,1,11,8
disadvantaged,1,11,8
ensure children,2,11,8
needs provision,2,11,8
occupational,1,11,8
school place,2,11,8
shift,1,11,8
showing,1,11,8
spiralling,1,11,8
stronger,1,11,8
tailored,1,11,8
urgent,1,11,8
waiting,1,11,8
appeals,1,11,7
attacked,1,11,7
chancellor,1,11,7
daniel,1,11,7
diagnosed,1,11,7
emotional mental,2,11,7
emotional mental health,3,11,7
phone,1,11,7
publish,1,11,7
radical,1,11,7
relationship,1,11,7
road,1,11,7
social emotional mental,3,11,7
south,1,11,7
freedom,1,11,6
ofsted,1,11,6
older,1,11,6
payments,1,11,6
piece,1,11,6
poverty,1,11,6
release,1,11,6
animal,1,11,5
commission,1,11,5
legally-binding,1,11,5
technology,1,11,5
watch,1,11,5
crown,1,11,4
depth,1,11,4
medication,1,11,4
prices,1,11,4
trade,1,11,4
york,1,11,4
assisted,1,11,3
knife,1,11,3
spotlight,1,11,3
videos,1,11,3
volunteers,1,11,3
wear,1,11,3
joshua,1,11,2
scottish government,2,11,2
yusuf,1,11,2
beadnell,1,11,1
chan,1,11,1
gaza,1,11,1
leagues,1,11,1
posters,1,11,1
second homes,2,11,1
adjustments,1,10,10
ambitious,1,10,10
appear,1,10,10
breakfast,1,10,10
bringing,1,10,10
confident,1,10,10
forms,1,10,10
government spending,2,10,10
hear,1,10,10
heart,1,10,10
highly,1,10,10
liberal democrat,2,10,10
links,1,10,10
matter,1,10,10
overhaul system,2,10,10
past decade,2,10,10
primary secondary school,3,10,10
pupils special,2,10,10
recently,1,10,10
results,1,10,10
schools local authorities,3,10,10
send system england,3,10,10
seven,1,10,10
special education,2,10,10
stay,1,10,10
asking,1,10,9
autism adhd,2,10,9
avoid,1,10,9
capital,1,10,9
caused,1,10,9
changes send,2,10,9
colleagues,1,10,9
core,1,10,9
developing,1,10,9
education spokesperson,2,10,9
faced,1,10,9
gave,1,10,9
incidents,1,10,9
initial,1,10,9
investing,1,10,9
launched,1,10,9
listening,1,10,9
needs including,2,10,9
needs system,2,10,9
phase,1,10,9
plans send,2,10,9
priority,1,10,9
reflects,1,10,9
reforming,1,10,9
requirements,1,10,9
send schools,2,10,9
shadow education,2,10,9
shadow education secretary,3,10,9
suggests,1,10,9
teacher training,2,10,9
thriving,1,10,9
tiers,1,10,9
universal,1,10,9
appeared,1,10,8
charities,1,10,8
child young,2,10,8
child young person,3,10,8
class,1,10,8
commissioner,1,10,8
communication,1,10,8
complaints,1,10,8
deeply,1,10,8
deputy,1,10,8
direct,1,10,8
failures,1,10,8
fought,1,10,8
july,1,10,8
landmark,1,10,8
michael,1,10,8
ready,1,10,8
resource,1,10,8
securing,1,10,8
